,0,1,2,3,4,5,6,7,8,9,10,11,12
0,98.71,0.0,0.81,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.16
1,28.12,0.0,65.62,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,0.0,3.12
2,52.0,0.0,28.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0
3,50.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
4,30.0,0.0,10.0,30.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
5,10.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,80.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,88.89,0.0,0.0,0.0,5.56
9,53.85,7.69,23.08,0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0
10,15.38,7.69,53.85,0.0,0.0,7.69,0.0,0.0,7.69,0.0,7.69,0.0,0.0
11,0.0,15.38,7.69,30.77,7.69,7.69,0.0,0.0,0.0,0.0,0.0,30.77,0.0
12,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,40.0
